ner,sample,component,label
IBM Corporation,IBM Cloud,1213,1
IBM Corporation,IBM Services Platform,1213,1
IBM Cloud,IBM Services Platform,1213,1
IBM Z,IBM Z ( r ),1215,1
IBX,IBX ( r ),1216,1
ICD,( ICD ),1217,1
"ICE Data Indices, LLC",ICE Data Indices,1218,1
ICloud ( r ),ICloud,1219,1
IHS Markit,IHS Markit Ltd.,1220,1
IMLYGIC,IMLYGIC ( r ),1221,1
INCAGN1876 ( GITR ),GITR,1222,1
IPad,IPad ( r ),1223,1
IPhone,IPhone ( r ),1224,1
IQ ( r ),IQ,1225,1
IRIS ( r ),IRIS,1226,1
IRIS,Insurance Regulatory Information System ( IRIS ),1226,1
ISO 50001,ISO 50001 ( Energy Management ),1229,1
ISO-9001,ISO 9001,1230,1
ISO-9001,ISO 9001 ( Quality Management ),1230,1
ISO-9001,ISO 9001 : 2015,1230,1
ISO-9001,ISO 9001-2008,1230,1
ISO-9001,ISO9001,1230,1
ISO-9001,ISO 9001 : 2000,1230,1
ISO-9001,International Organization for Standardization ( ISO ) 9001,1230,1
ISO 9001,ISO 9001 ( Quality Management ),1230,1
ISO 9001,ISO 9001 : 2015,1230,1
ISO 9001,ISO 9001-2008,1230,1
ISO 9001,ISO9001,1230,1
ISO 9001,ISO 9001 : 2000,1230,1
ISO 9001,International Organization for Standardization ( ISO ) 9001,1230,1
ISO 9001 ( Quality Management ),ISO 9001 : 2015,1230,1
ISO 9001 ( Quality Management ),ISO 9001-2008,1230,1
ISO 9001 ( Quality Management ),ISO9001,1230,1
ISO 9001 ( Quality Management ),ISO 9001 : 2000,1230,1
ISO 9001 ( Quality Management ),International Organization for Standardization ( ISO ) 9001,1230,1
ISO 9001 : 2015,ISO 9001-2008,1230,1
ISO 9001 : 2015,ISO9001,1230,1
ISO 9001 : 2015,ISO 9001 : 2000,1230,1
ISO 9001 : 2015,International Organization for Standardization ( ISO ) 9001,1230,1
ISO 9001-2008,ISO9001,1230,1
ISO 9001-2008,ISO 9001 : 2000,1230,1
ISO9001,ISO 9001 : 2000,1230,1
IT Asset Management ( ITAM ),ITAM,1232,1
IT Service Management ( ITSM ),ITSM,1235,1
ITT Corporation,ITT ( now ITT LLC ),1236,1
ITT Corporation,ITT Industries,1236,1
ITT Corporation,ITT,1236,1
ITT ( now ITT LLC ),ITT Industries,1236,1
ITT ( now ITT LLC ),ITT,1236,1
ITT Industries,ITT,1236,1
IVC ( r ),IVC,1237,1
Ibiden Co. Ltd,IbidenCo,1239,1
Idaho Department of Environmental Quality ( IDEQ ),IDEQ,1240,1
Illinois Tool Works,Illinois Tool Works Inc.,1242,1
Illumina,"Illumina, Inc.",1243,1
Immuno-oncology Discovery,Immuno-oncology,1245,1
Immuno-oncology Discovery,Immuno-Oncology,1245,1
Immuno-oncology Discovery,Immuno-oncology License,1245,1
Immuno-oncology,Immuno-Oncology,1245,1
Immuno-oncology,Immuno-oncology License,1245,1
Immuno-Oncology,Immuno-oncology License,1245,1
Impella CP SmartAssist,Impella CP SmartAssist ( r ),1247,1
"Imperva, Inc.",Imperva,1250,1
In Vitro Diagnostics Directive ( 98 / 79 / EC ),In Vitro Diagnostic Directive,1251,1
Independent Power Producers of New York ( IPPNY ),IPPNY,1256,1
IPPNY,"Independent Power Producers of New York, Inc. ( IPPNY )",1256,1
Industrial Internet of Things ( IIoT ),IIoT,1258,1
Infant Formula,Infant Formula Act,1259,1
Infosys Ltd.,Infosys,1260,1
Infrastructure ( ACI ),ACI,1261,1
Infrastructure ( AMI ),AMI,1262,1
RGGI,Initiative ( RGGI ),1265,1
RGGI,RGGI States,1265,1
RGGI,Regional Greenhouse Gas Initiative ( RGGI ),1265,1
RGGI,( RGGI States ),1265,1
RGGI,Regional Greenhouse Gas Initiative,1265,1
Instagram,Instagram ( r ),1266,1
Insurance Data Security Model Law ( NAIC Model Law ),NAIC Model Law,1270,1
CIA,Integrity Agreement ( CIA ),1272,1
Intel,Intel ( r ),1273,1
Intel,Intel Corp.,1273,1
Intel,Intel Corporation ( Intel ),1273,1
Intel,Intel Corporation,1273,1
Intel Corporation ( Intel ),Intel Corporation,1273,1
ICPA,Inter-Company Power Agreement ( ICPA ),1275,1
IMC,Interamerican Motor Corporation ( IMC ),1276,1
Interchange Fee Regulation ( IFR ),IFR,1277,1
"Intercontinental Exchange, Inc.",Intercontinental Exchange,1278,1
ICE,"Intercontinental Exchange, Inc. ( ICE )",1279,1
Interfaces ( API ),API,1280,1
Interflex,Interflex ( r ),1281,1
JBI,Intermodal ( JBI ),1282,1
IAE LLC,"International Aero Engines, LLC ( IAE LLC )",1285,1
International Association of Machinists and Aerospace Workers,International Association of Machinists ( IAM ),1287,1
International Association of Machinists and Aerospace Workers,International Association of Machinists & Aerospace Workers ( TWU-IAM Association ),1287,1
International Association of Machinists and Aerospace Workers,International Association of Machinists & Aerospace Workers ( IAM ),1287,1
International Association of Machinists and Aerospace Workers,International Association of Machinists and Aerospace Workers ( IAM ),1287,1
International Association of Machinists ( IAM ),International Association of Machinists & Aerospace Workers ( TWU-IAM Association ),1287,1
International Association of Machinists ( IAM ),International Association of Machinists & Aerospace Workers ( IAM ),1287,1
International Association of Machinists ( IAM ),International Association of Machinists and Aerospace Workers ( IAM ),1287,1
International Association of Machinists & Aerospace Workers ( TWU-IAM Association ),International Association of Machinists & Aerospace Workers ( IAM ),1287,1
International Association of Machinists & Aerospace Workers ( TWU-IAM Association ),International Association of Machinists and Aerospace Workers ( IAM ),1287,1
International Association of Machinists & Aerospace Workers ( IAM ),International Association of Machinists and Aerospace Workers ( IAM ),1287,1
International Brotherhood of Electrical Workers,International Brotherhood of Electrical Workers ( IBEW ),1288,1
International Brotherhood of Electrical Workers,International Brotherhood of Electrical Workers Local 965,1288,1
International Brotherhood of Electrical Workers,International Brotherhood of Electrical Workers Local 204 ( Cedar Rapids ),1288,1
International Brotherhood of Electrical Workers ( IBEW ),International Brotherhood of Electrical Workers Local 965,1288,1
International Brotherhood of Electrical Workers ( IBEW ),International Brotherhood of Electrical Workers Local 204 ( Cedar Rapids ),1288,1
International Brotherhood of Electrical Workers Local 965,International Brotherhood of Electrical Workers Local 204 ( Cedar Rapids ),1288,1
International Business Machines Corporation ( IBM ),International Business Machines Corporation,1213,1
International Business Machines Corporation ( IBM ),International Business Machines,1213,1
International Business Machines Corporation ( IBM ),International Business Machine Corp.,1213,1
International Business Machines Corporation,International Business Machines,1213,1
International Business Machines Corporation,International Business Machine Corp.,1213,1
International Business Machines,International Business Machine Corp.,1213,1
ICAO,International Civil Aviation Organization ( ICAO ),1289,1
ICH,International Council for Harmonization ( ICH ),1290,1
International Financial Reporting Standards ( IFRS ),IFRS,1291,1
International Wine & Spirit Research ( IWSR ),IWSR,1297,1
IAIGs,Internationally Active Insurance Groups ( IAIGs ),1298,1
Internet-of-Things ( IoT ),Internet of Things ( IoT ),1300,1
Internet-of-Things ( IoT ),IoT,1300,1
Internet-of-Things ( IoT ),Internet of Things,1300,1
Internet-of-Things ( IoT ),IoT ( Internet of Things ),1300,1
Internet-of-Things ( IoT ),Internet of things ( IoT ),1300,1
Internet of Things ( IoT ),IoT,1300,1
Internet of Things ( IoT ),Internet of Things,1300,1
Internet of Things ( IoT ),IoT ( Internet of Things ),1300,1
Internet of Things ( IoT ),Internet of things ( IoT ),1300,1
IoT,Internet of Things,1300,1
IoT,IoT ( Internet of Things ),1300,1
IoT,Internet of things ( IoT ),1300,1
Internet of Things,IoT ( Internet of Things ),1300,1
Internet of Things,Internet of things ( IoT ),1300,1
IoT ( Internet of Things ),Internet of things ( IoT ),1300,1
Interruptions Incentive Scheme ( IIS ),IIS,1302,1
Intuit Financial Services,( Intuit Inc. ),1304,1
Intuit Financial Services,Intuit,1304,1
( Intuit Inc. ),Intuit,1304,1
Investigational Device Exemption ( IDE ),IDE,1305,1
Investment Advisers Act,Investment Advisors Act,1306,1
Investment Advisers Act,Investment Advisers Act of 1940,1306,1
Investment Advisers Act,Investment Advisors Act of 1940,1306,1
Investment Advisers Act,Investment Advisers ' Act of 1940,1306,1
Investment Advisors Act,Investment Advisers Act of 1940,1306,1
Investment Advisors Act,Investment Advisors Act of 1940,1306,1
Investment Advisors Act,Investment Advisers ' Act of 1940,1306,1
Investment Advisers Act of 1940,Investment Advisors Act of 1940,1306,1
Investment Advisers Act of 1940,Investment Advisers ' Act of 1940,1306,1
Investment Advisors Act of 1940,Investment Advisers ' Act of 1940,1306,1
Investor Relations Department ( Investor Relations ),Investor Relations,1307,1
IC,Ion Chromatography ( IC ),1309,1
"Ionis Pharmaceuticals, Inc. ( Ionis )",Ionis,1310,1
Iran Threat Reduction and Syria Human Rights Act of 2012 ( ITRSHRA ),ITRSHRA,1311,1
Iridium ( r ),Iridium,1312,1
J. M. Smucker Company,J. M. Smucker Co.,1313,1
JW Marriott,JW Marriott ( r ),1316,1
JanSport,JanSport ( r ),1319,1
APAC,Japan ( APAC ),1322,1
Japan Financial Services Agency ( JFSA ),JFSA,1323,1
Pharmaceutical and Medical Devices Agency ( PMDA ),Pharmaceuticals and Medical Devices Agency,1325,1
Pharmaceutical and Medical Devices Agency ( PMDA ),Japanese Pharmaceuticals and Medical Devices Agency ( PMDA ),1325,1
Pharmaceutical and Medical Devices Agency ( PMDA ),Pharmaceuticals and Medical Device Agency,1325,1
Pharmaceutical and Medical Devices Agency ( PMDA ),Japanese Pharmaceuticals and Medical Devices Agency,1325,1
Pharmaceutical and Medical Devices Agency ( PMDA ),Japanese Pharmaceutical & Medical Device Agency ( PMDA ),1325,1
Pharmaceuticals and Medical Devices Agency,Japanese Pharmaceuticals and Medical Devices Agency ( PMDA ),1325,1
Pharmaceuticals and Medical Devices Agency,Pharmaceuticals and Medical Device Agency,1325,1
Pharmaceuticals and Medical Devices Agency,Japanese Pharmaceuticals and Medical Devices Agency,1325,1
Pharmaceuticals and Medical Devices Agency,Japanese Pharmaceutical & Medical Device Agency ( PMDA ),1325,1
Japanese Pharmaceuticals and Medical Devices Agency ( PMDA ),Pharmaceuticals and Medical Device Agency,1325,1
Japanese Pharmaceuticals and Medical Devices Agency ( PMDA ),Japanese Pharmaceuticals and Medical Devices Agency,1325,1
Japanese Pharmaceuticals and Medical Devices Agency ( PMDA ),Japanese Pharmaceutical & Medical Device Agency ( PMDA ),1325,1
Pharmaceuticals and Medical Device Agency,Japanese Pharmaceuticals and Medical Devices Agency,1325,1
Pharmaceuticals and Medical Device Agency,Japanese Pharmaceutical & Medical Device Agency ( PMDA ),1325,1
Japanese Pharmaceuticals and Medical Devices Agency,Japanese Pharmaceutical & Medical Device Agency ( PMDA ),1325,1
Jardiance,Jardiance ( r ),1326,1
Jardine Lloyd Thompson Group ( JLT ),JLT,1327,1
"Jennie-O Turkey Store, Inc",Jennie-O Turkey Store,1329,1
Jennie-O Turkey Store,"Jennie-O Turkey Store, Inc.",1329,1
John Deere ( r ),John Deere,1331,1
John Deere Financial,John Deere Financial Inc.,1333,1
"Juniper Networks, Inc.",Juniper Networks,1339,1
Junto,Junto Holding Brasil S. A. ( Junto ),1340,1
K-Mag ( r ),K-Mag,1342,1
KAI,KAI ( r ),1343,1
KLA Instruments Corporation,KLA Instruments,1345,1
KLA-Tencor Corporation,KLA-Tencor,1346,1
KLA-Tencor,KLA-Tencor Corporation ( KLA-Tencor ),1346,1
KPMG,"KPMG, LLP",1348,1
KPMG,KPMG LLP,1348,1
"KPMG, LLP",KPMG LLP,1348,1
Karl Storz,Karl Storz GmbH & Co.,1353,1
Kebabangan Cluster ( KBBC ),KBBC,1355,1
Kellogg School of Management,Kellogg North America,1356,1
Kellogg School of Management,Kellogg Russia,1356,1
Kellogg School of Management,W. K. Kellogg Foundation Trust,1356,1
Kellogg School of Management,Kellogg Europe,1356,1
Kellogg School of Management,W. K. Kellogg Institute for Food and Nutrition Research,1356,1
Kellogg School of Management,Kellogg Latin America,1356,1
Kellogg School of Management,One Kellogg Square,1356,1
Kellogg School of Management,Kellogg ' s Corn,1356,1
Kellogg School of Management,Kellogg Company,1356,1
Kellogg School of Management,Kellogg,1356,1
Kellogg North America,Kellogg Russia,1356,1
Kellogg North America,W. K. Kellogg Foundation Trust,1356,1
Kellogg North America,Kellogg Europe,1356,1
Kellogg North America,W. K. Kellogg Institute for Food and Nutrition Research,1356,1
Kellogg North America,Kellogg Latin America,1356,1
Kellogg North America,One Kellogg Square,1356,1
Kellogg North America,Kellogg ' s Corn,1356,1
Kellogg North America,Kellogg Company,1356,1
Kellogg North America,Kellogg,1356,1
Kellogg Russia,W. K. Kellogg Foundation Trust,1356,1
Kellogg Russia,Kellogg Europe,1356,1
Kellogg Russia,W. K. Kellogg Institute for Food and Nutrition Research,1356,1
Kellogg Russia,Kellogg Latin America,1356,1
Kellogg Russia,One Kellogg Square,1356,1
Kellogg Russia,Kellogg ' s Corn,1356,1
Kellogg Russia,Kellogg Company,1356,1
Kellogg Russia,Kellogg,1356,1
W. K. Kellogg Foundation Trust,Kellogg Europe,1356,1
W. K. Kellogg Foundation Trust,W. K. Kellogg Institute for Food and Nutrition Research,1356,1
W. K. Kellogg Foundation Trust,Kellogg Latin America,1356,1
W. K. Kellogg Foundation Trust,One Kellogg Square,1356,1
W. K. Kellogg Foundation Trust,Kellogg ' s Corn,1356,1
W. K. Kellogg Foundation Trust,Kellogg Company,1356,1
W. K. Kellogg Foundation Trust,Kellogg,1356,1
Kellogg Europe,W. K. Kellogg Institute for Food and Nutrition Research,1356,1
Kellogg Europe,Kellogg Latin America,1356,1
Kellogg Europe,One Kellogg Square,1356,1
Kellogg Europe,Kellogg ' s Corn,1356,1
Kellogg Europe,Kellogg Company,1356,1
Kellogg Europe,Kellogg,1356,1
W. K. Kellogg Institute for Food and Nutrition Research,Kellogg Latin America,1356,1
W. K. Kellogg Institute for Food and Nutrition Research,One Kellogg Square,1356,1
W. K. Kellogg Institute for Food and Nutrition Research,Kellogg ' s Corn,1356,1
W. K. Kellogg Institute for Food and Nutrition Research,Kellogg Company,1356,1
W. K. Kellogg Institute for Food and Nutrition Research,Kellogg,1356,1
Kellogg Latin America,One Kellogg Square,1356,1
Kellogg Latin America,Kellogg ' s Corn,1356,1
Kellogg Latin America,Kellogg Company,1356,1
Kellogg Latin America,Kellogg,1356,1
One Kellogg Square,Kellogg ' s Corn,1356,1
One Kellogg Square,Kellogg Company,1356,1
One Kellogg Square,Kellogg,1356,1
Kellogg ' s Corn,Kellogg Company,1356,1
Kellogg ' s Corn,Kellogg,1356,1
Kellogg Company,Kellogg,1356,1
Kemper,Kemper Corporation,1357,1
"Kenneth Cole Productions ( Lic ), LLC",Kenneth Cole Production,1358,1
"Kenneth Cole Productions ( Lic ), LLC",Kenneth Cole New York,1358,1
"Kenneth Cole Productions ( Lic ), LLC",Kenneth Cole Reaction,1358,1
"Kenneth Cole Productions ( Lic ), LLC","Kenneth Cole Productions, Inc",1358,1
"Kenneth Cole Productions ( Lic ), LLC",Kenneth Cole,1358,1
Kenneth Cole Production,Kenneth Cole New York,1358,1
Kenneth Cole Production,Kenneth Cole Reaction,1358,1
Kenneth Cole Production,"Kenneth Cole Productions, Inc",1358,1
Kenneth Cole Production,Kenneth Cole,1358,1
Kenneth Cole New York,Kenneth Cole Reaction,1358,1
Kenneth Cole New York,"Kenneth Cole Productions, Inc",1358,1
Kenneth Cole New York,Kenneth Cole,1358,1
Kenneth Cole Reaction,"Kenneth Cole Productions, Inc",1358,1
Kenneth Cole Reaction,Kenneth Cole,1358,1
"Kenneth Cole Productions, Inc",Kenneth Cole,1358,1
Keurig,Keurig ( r ),1360,1
KeyBanc Capital Markets Inc,( like KeyBank ),1362,1
KeyBanc Capital Markets Inc,KeyBank,1362,1
KeyBanc Capital Markets Inc,( including KeyBank ),1362,1
KeyBanc Capital Markets Inc,KeyBank National Association,1362,1
( like KeyBank ),KeyBank,1362,1
( like KeyBank ),( including KeyBank ),1362,1
( like KeyBank ),KeyBank National Association,1362,1
KeyBank,( including KeyBank ),1362,1
KeyBank,KeyBank National Association,1362,1
( including KeyBank ),KeyBank National Association,1362,1
Keystone Gas Storage,Keystone Specialty,1364,1
Keystone Gas Storage,"Keystone Clearwater Solutions, LLC",1364,1
Keystone Gas Storage,Keystone-our,1364,1
Keystone Gas Storage,Keystone,1364,1
Keystone Gas Storage,Keystone Foods,1364,1
Keystone Specialty,"Keystone Clearwater Solutions, LLC",1364,1
Keystone Specialty,Keystone-our,1364,1
Keystone Specialty,Keystone,1364,1
Keystone Specialty,Keystone Foods,1364,1
"Keystone Clearwater Solutions, LLC",Keystone-our,1364,1
"Keystone Clearwater Solutions, LLC",Keystone,1364,1
"Keystone Clearwater Solutions, LLC",Keystone Foods,1364,1
Keystone-our,Keystone,1364,1
Keystone-our,Keystone Foods,1364,1
Keystone,Keystone Foods,1364,1
Kimberly-Clark Corporation,Kimberly-Clark,1366,1
Kinder Morgan,Kinder Morgan Texas Pipeline LLC ( Kinder Morgan ),1367,1
Kinder Morgan,"Kinder Morgan, Inc",1367,1
Kinder Morgan Texas Pipeline LLC ( Kinder Morgan ),"Kinder Morgan, Inc",1367,1
King Energy,"King Energy, Inc. ( King Energy )",1369,1
Kirkland Signature,Kirkland Signature ( r ),1370,1
Kit Kat,Kit Kat ( r ),1371,1
Klarity,Klarity ( r ),1372,1
Kobalt,Kobalt ( r ),1373,1
Kohinoor ( r ),Kohinoor,1374,1
Kohl,Kohl ' s Corporation,1375,1
"Komatsu Cummins Chile, Ltda",Komatsu Cummins Chile,1377,1
Koninklijke Philips N. V.,Koninklijke Philips NV,1380,1
Koninklijke Philips N. V.,Koninklijke DSM N. V,1380,1
Koninklijke Philips NV,Koninklijke DSM N. V,1380,1
Korean Air,Korean Air Cargo,1381,1
"Kymera Therapeutics, Inc",Kymera Therapeutics,1384,1
L ' Oreal S. A.,L ' Oreal,1385,1
Ryder Scott,L. P. Petroleum Consultants ( Ryder Scott ),1386,1
Ryder Scott,Ryder Scott Company,1386,1
L3Harris,L3Harris Merger,1387,1
L3Harris,"L3Harris Technologies, Inc.",1387,1
L3Harris,L3Harris Technologies,1387,1
L3Harris Merger,"L3Harris Technologies, Inc.",1387,1
L3Harris Merger,L3Harris Technologies,1387,1
"L3Harris Technologies, Inc.",L3Harris Technologies,1387,1
LCN,LCN ( r ),1389,1
LEED ( Leadership in Energy and Environmental Design ),Leadership in Energy and Environmental Design,1390,1
LG,LG ( r ),1392,1
LG,LG Corp,1392,1
OSA,LIPA Operating Services Agreement ( OSA ),1395,1
BHGE LLC,LLC ( BHGE LLC ),1397,1
LSI Corporation,LSI,1398,1
LSI Logic,LSI Logic Corporation,1399,1
LabCorp,LabCorp ( r ) or the Company,1401,1
LafargeHolcim Ltd,LafargeHolcim,1405,1
Lanxess,Lanxess AG,1406,1
Lattice,Lattice Semiconductor Corporation ( Lattice ),1408,1
Lawry,Lawry ' s ( r ),1409,1
"Leidos Holdings, Inc",Leidos,1410,1
Leoline ( r ),Leoline,1412,1
Letairis ( r ),Letairis,1414,1
LexisNexis ( r ) Risk Solutions,LexisNexis Risk Solutions,1415,1
LexisNexis ( r ) Risk Solutions,LexisNexis,1415,1
LexisNexis ( r ) Risk Solutions,Lexis Nexis,1415,1
LexisNexis Risk Solutions,LexisNexis,1415,1
LexisNexis Risk Solutions,Lexis Nexis,1415,1
LexisNexis,Lexis Nexis,1415,1
Liberty Expedia Holdings,"Liberty Expedia Holdings, Inc.",1416,1
Liberty Lane Partners,"Liberty Lane Partners, LLC",1417,1
Liberty National Division ( Liberty National ),Liberty National,1418,1
Life Technologies,Life Technologies Corporation,1419,1
Life Technologies,"Life Technologies, Inc",1419,1
LMN,Lifetime Movie Network ( LMN )-which,1421,1
Lincoln Financial Group Trust Company,Lincoln Financial Media Company,1422,1
Lincoln Financial Group Trust Company,Lincoln Financial Network,1422,1
Lincoln Financial Group Trust Company,Lincoln Financial Group,1422,1
Lincoln Financial Group Trust Company,Lincoln Financial,1422,1
Lincoln Financial Media Company,Lincoln Financial Network,1422,1
Lincoln Financial Media Company,Lincoln Financial Group,1422,1
Lincoln Financial Media Company,Lincoln Financial,1422,1
Lincoln Financial Network,Lincoln Financial Group,1422,1
Lincoln Financial Network,Lincoln Financial,1422,1
Lincoln Financial Group,Lincoln Financial,1422,1
Linear Technology Corporation ( Linear ),Linear,1423,1
LinkedIn.,Microsoft ( including LinkedIn ),1424,1
LinkedIn.,LinkedIn,1424,1
LinkedIn.,Microsoft ' s LinkedIn,1424,1
Microsoft ( including LinkedIn ),LinkedIn,1424,1
Microsoft ( including LinkedIn ),Microsoft ' s LinkedIn,1424,1
LinkedIn,Microsoft ' s LinkedIn,1424,1
LiquidityEdge,LiquidityEdge LLC,1426,1
LitePoint,LitePoint Corporation,1427,1
"Litton Industries, Inc.",Litton Industries,1428,1
Livent,Livent Corporation,1429,1
Livermore Software Technology ( LST ),LST,1430,1
Lloyds Syndicate,Lloyd ' s of London Syndicate,1431,1
Lloyds Syndicate,Lloyd ' s Syndicate 318,1431,1
Lloyds Syndicate,Lloyd ' s Syndicate,1431,1
Lloyds Syndicate,( Syndicate 5000 at Lloyd ' s ),1431,1
Lloyds Syndicate,Lloyd ' s of London ( Lloyd ' s ) Syndicate,1431,1
Lloyd ' s of London Syndicate,Lloyd ' s Syndicate 318,1431,1
Lloyd ' s of London Syndicate,Lloyd ' s Syndicate,1431,1
Lloyd ' s of London Syndicate,( Syndicate 5000 at Lloyd ' s ),1431,1
Lloyd ' s of London Syndicate,Lloyd ' s of London ( Lloyd ' s ) Syndicate,1431,1
Lloyd ' s Syndicate 318,Lloyd ' s Syndicate,1431,1
Lloyd ' s Syndicate 318,( Syndicate 5000 at Lloyd ' s ),1431,1
Lloyd ' s Syndicate 318,Lloyd ' s of London ( Lloyd ' s ) Syndicate,1431,1
Lloyd ' s Syndicate,( Syndicate 5000 at Lloyd ' s ),1431,1
Lloyd ' s Syndicate,Lloyd ' s of London ( Lloyd ' s ) Syndicate,1431,1
( Syndicate 5000 at Lloyd ' s ),Lloyd ' s of London ( Lloyd ' s ) Syndicate,1431,1
Lockheed Martin Corporation,Lockheed Corporation,1433,1
Lockheed Martin Corporation,Lockheed Martin,1433,1
Lockheed Corporation,Lockheed Martin,1433,1
London Interbank,London Inter-bank,1434,1
LME,London Metal Exchange ( LME ),1435,1
Long Island Power Authority ' s ( LIPA ),LIPA,1436,1
Long Point Re III Ltd. ( Long Point Re III ),Long Point Re III,1437,1
LDEQ,Louisiana Department of Environmental Quality ( LDEQ ),1439,1
Lucent Technologies,"Lucent Technologies, Inc.",1443,1
LumiGEN ( r ),LumiGEN,1444,1
Lupus Erythematosus,Lupus Erythematosus Disease Area,1445,1
Luxottica Group S.,Luxottica Group S. p. A.,1447,1
Lyondellbasell Industries,LyondellBasell,1450,1
Lyondellbasell Industries,LyondellBasell Industries N. V,1450,1
Lyondellbasell Industries,LyondellBasell Industries N. V.,1450,1
Lyondellbasell Industries,LyondellBasell. com,1450,1
LyondellBasell,LyondellBasell Industries N. V,1450,1
LyondellBasell,LyondellBasell Industries N. V.,1450,1
LyondellBasell,LyondellBasell. com,1450,1
LyondellBasell Industries N. V,LyondellBasell Industries N. V.,1450,1
LyondellBasell Industries N. V,LyondellBasell. com,1450,1
LyondellBasell Industries N. V.,LyondellBasell. com,1450,1
M & T Real Estate,M & T,1451,1
M & T Real Estate,M & T Bank Corporation,1451,1
M & T Real Estate,M & T Realty Capital,1451,1
M & T Real Estate,M & T Securities,1451,1
M & T Real Estate,M & T Insurance Agency,1451,1
M & T Real Estate,M & T Bank,1451,1
M & T Real Estate,"M & T Real Estate, Inc.",1451,1
M & T,M & T Bank Corporation,1451,1
M & T,M & T Realty Capital,1451,1
M & T,M & T Securities,1451,1
M & T,M & T Insurance Agency,1451,1
M & T,M & T Bank,1451,1
M & T Bank Corporation,M & T Realty Capital,1451,1
M & T Bank Corporation,M & T Securities,1451,1
M & T Bank Corporation,M & T Insurance Agency,1451,1
M & T Bank Corporation,M & T Bank,1451,1
M & T Realty Capital,M & T Securities,1451,1
M & T Realty Capital,M & T Insurance Agency,1451,1
M & T Realty Capital,M & T Bank,1451,1
M & T Realty Capital,M & T Realty Capital Corporation,1451,1
M & T Securities,M & T Insurance Agency,1451,1
M & T Securities,M & T Bank,1451,1
M & T Securities,"M & T Securities, Inc.",1451,1
M & T Insurance Agency,M & T Bank,1451,1
M & T Insurance Agency,"M & T Insurance Agency, Inc.",1451,1
MD & A,MD & A-Segment,1453,1
MD & A,( MD & A ),1453,1
MD & A,MD & A.,1453,1
MD & A-Segment,( MD & A ),1453,1
MD & A-Segment,MD & A.,1453,1
( MD & A ),MD & A.,1453,1
MDS,MDS Inc.,1454,1
MIROLIN,MIROLIN ( r ),1457,1
MISO,MISO RTO,1458,1
MISO,( MISO ),1458,1
MISO,Midcontinent Independent System Operator ( MISO ),1458,1
MISO RTO,( MISO ),1458,1
MISO RTO,Midcontinent Independent System Operator ( MISO ),1458,1
( MISO ),Midcontinent Independent System Operator ( MISO ),1458,1
MS ( RRMS ),RRMS,1459,1
MSCI ESG Research,MSCI ESG Research LLC,1461,1
MTU,MTU Aero Engines AG ( MTU ),1463,1
MVD ( r ),MVD,1465,1
Mac,Mac ( r ),1466,1
Macnica,"Macnica, Inc. ( Macnica )",1467,1
Madison Square Garden,Madison Square Garden Company,1470,1
Magellan,Magellan Health,1472,1
Magellan,Magellan Pipeline Company,1472,1
Magellan,"Magellan Midstream Partners, L. P. ( Magellan )",1472,1
Magellan Health,Magellan Pipeline Company,1472,1
Magellan Health,"Magellan Midstream Partners, L. P. ( Magellan )",1472,1
Magellan Pipeline Company,"Magellan Midstream Partners, L. P. ( Magellan )",1472,1
Magma Global Ltd.,Magma Global,1473,1
Magna,Magna International Inc. ( Magna ),1474,1
Major League Baseball ( MLB ),MLB,1476,1
JDA,Malaysia / Thailand Joint Development Area ( JDA ),1477,1
JDA,Thailand Joint Development Area ( JDA ),1477,1
Managed Care Organization ( MCO ),MCO,1478,1
Management,Management LLC,1479,1
Mandalay Bay Resort & Casino,Mandalay Bay ( including Delano and Four Seasons ),1480,1
Mandalay Bay Resort & Casino,Mandalay Bay ( including Mandalay Place ),1480,1
Mandalay Bay Resort & Casino,Mandalay Bay,1480,1
Mandalay Bay ( including Delano and Four Seasons ),Mandalay Bay ( including Mandalay Place ),1480,1
Mandalay Bay ( including Delano and Four Seasons ),Mandalay Bay,1480,1
Mandalay Bay ( including Mandalay Place ),Mandalay Bay,1480,1
"Manheim, Inc",Manheim,1481,1
Map Ta Phut Olefins Company Limited,Map Ta Phut,1482,1
MapMyFitness,MapMyFitness ( r ),1483,1
Marathon Oil,Marathon Oil Company,1484,1
Marathon Oil,Marathon Oil Corporation,1484,1
Marcellus Shale ( Appalachia Midstream Investments ),Appalachia Midstream Investments,1487,1
Marine Spill Response Corporation ( MSRC ),MSRC,1489,1
Marine Well Containment Company,Marine Well Containment Company ( MWCC ),1490,1
ATM,Market ( ATM ),1491,1
FCM,Market ( FCM ),1492,1
Marketing and Communications,Marketing & Communications,1494,1
MiFID II,Markets in Financial Instruments Directive II ( MiFID II ),1495,1
MiFID II,Markets in Financial Instruments Directive ( MiFID II ),1495,1
MiFID II,MiFID ( Markets in Financial Instruments Directive ),1495,1
MiFID II,EU Markets in Financial Instruments Directive,1495,1
MiFID II,Financial Instruments Directive ( MiFID ),1495,1
MiFID II,Markets in Financial Instruments Directive ( 2004 / 39 / EC ) ( MiFID ),1495,1
MiFID II,Markets in Financial Instruments Directive,1495,1
MiFID II,Market in Financial Instruments Directive ( MiFID II ),1495,1
MiFID II,Markets in Financial Instruments Directive II,1495,1
MiFIR,Markets in Financial Instruments Regulation ( MiFIR ),1496,1
